	id	Judge	Clerk	Began Service:	Term Expires:	E-mail:	Education:	Career:
80	0	 $. James Otero	 Edward Loya	N / A	N / A	N / A	N / A	N / A
79	0	 $. James Otero	 Stephen Lindholm	N / A	N / A	N / A	N / A	N / A
78	0	 $. James Otero	/Attorney, Office of the City Attorney, City of of Los	N / A	N / A	N / A	N / A	N / A
439	1	 (recalled) Alexander	 The Honorable Joseph Patrick Lieb, United States	N / A	N / A	N / A	N / A	N / A
535	2	 (recalled) Peter R.	 Lisa Lang-Lopez,	N / A	N / A	N / A	N / A	N / A
190	3	 (recalled) Richard T.	 James Eder 	N / A	N / A	N / A	N / A	N / A
193	3	 (recalled) Richard T.	 Christine Thomton	N / A	N / A	N / A	N / A	N / A
192	3	 (recalled) Richard T.	 Emily C. Klein 	N / A	N / A	N / A	N / A	N / A
191	3	 (recalled) Richard T.	 Luis L. Hermandez	N / A	N / A	N / A	N / A	N / A
194	3	 (recalled) Richard T.	 Griff Wodtke	N / A	N / A	N / A	N / A	N / A
189	3	 (recalled) Richard T.	 Julie Caskey	N / A	N / A	N / A	N / A	N / A
187	3	 (recalled) Richard T.	 Heather M. Angove 	N / A	N / A	N / A	N / A	N / A
186	3	 (recalled) Richard T.	 Veronica Gushin ,	N / A	N / A	N / A	N / A	N / A
188	3	 (recalled) Richard T.	 Gina Ramos Campbell	N / A	N / A	N / A	N / A	N / A
185	3	 (recalled) Richard T.	 Julie Bibb Davis	N / A	N / A	N / A	N / A	N / A
66	4	 A. Howard Matz	 The Honorable Morris E, Lasker, United States	N / A	N / A	N / A	N / A	N / A
67	4	 A. Howard Matz	 Alyse Bertenthal 	N / A	N / A	N / A	N / A	N / A
68	4	 A. Howard Matz	 Daniel Tenenblatt 	N / A	N / A	N / A	N / A	N / A
540	5	 A. Jay Cristol	 Judy Stroud 	N / A	N / A	N / A	N / A	N / A
539	5	 A. Jay Cristol	 Cheryl A. Kaplan 	N / A	N / A	N / A	N / A	N / A
615	6	 Alan C. Kay	 Ghita Harris-Newton	N / A	N / A	N / A	N / A	N / A
614	6	 Alan C. Kay	 Erin Fuse Brown 	N / A	N / A	N / A	N / A	N / A
354	7	 Alan H. W. Shiff	 Victoria E. Stevens 	N / A	N / A	N / A	N / A	N / A
353	7	 Alan H. W. Shiff	 Josh D. Levine-Epstein	N / A	N / A	N / A	N / A	N / A
586	8	 Alan J. Baverman	 The Honorable Harold L. Murphy, United States	N / A	N / A	N / A	N / A	N / A
587	8	 Alan J. Baverman	 Evie Grasha.. 0.0.22. cee (404) 215-5344	N / A	N / A	N / A	N / A	N / A
244	9	 Alan Jaroslovsky F	 Kristi S. Gemior	N / A	N / A	N / A	N / A	N / A
243	9	 Alan Jaroslovsky F	 Jane Fabian 	N / A	N / A	N / A	N / A	N / A
130	10	 Alan M. Ahart	 Deborah Chang	N / A	N / A	N / A	N / A	N / A
131	10	 Alan M. Ahart	 Monserrat Morales 	N / A	N / A	N / A	N / A	N / A
472	11	 Alan S. Gold	 The Honorable Charies Carroll, Florida Court of	N / A	N / A	N / A	N / A	N / A
474	11	 Alan S. Gold	 Tarya Malkki	N / A	N / A	N / A	N / A	N / A
473	11	 Alan S. Gold	 James Barney 	N / A	N / A	N / A	N / A	N / A
352	12	 Albert 5.	 Mark D, G. Sanders 	N / A	N / A	N / A	N / A	N / A
51	13	 Alicemarie H. Stotler	 Amanda Garcia 	N / A	N / A	N / A	N / A	N / A
52	13	 Alicemarie H. Stotler	 Amy C. Hirsch	N / A	N / A	N / A	N / A	N / A
318	14	 Alvin W. Thompson	 Marcelo Blackburn 	N / A	N / A	N / A	N / A	N / A
319	14	 Alvin W. Thompson	Deputy-in-Charge - New Haven Lori Inferrera	N / A	N / A	N / A	N / A	N / A
525	15	 Andrea M. Simonton	 David O, Leiwant	N / A	N / A	N / A	N / A	N / A
104	16	 Andrew J. Wistrich	 Victoria Shabanian	N / A	N / A	N / A	N / A	N / A
103	16	 Andrew J. Wistrich	 Jordonna Grace	N / A	N / A	N / A	N / A	N / A
102	16	 Andrew J. Wistrich	 The Honorable Charles Clark, United States Court of	N / A	N / A	N / A	N / A	N / A
519	17	 Ann E. Vitunac	 Maria D. Kunz 	N / A	N / A	N / A	N / A	N / A
372	18	 Anne C. Conway	 Matthew D. Hill. -	N / A	N / A	N / A	N / A	N / A
371	18	 Anne C. Conway	 Steve Bramyon	N / A	N / A	N / A	N / A	N / A
370	18	 Anne C. Conway	 Christine Bilodeau	N / A	N / A	N / A	N / A	N / A
369	18	 Anne C. Conway	 The Honorable John A Reed, Jr, United States	N / A	N / A	N / A	N / A	N / A
600	19	 Anthony A. Alaimo	 Ryan Baboodk Ga wae ee tenn leoeavam wb 8 vba (912) 280-1340	N / A	N / A	N / A	N / A	N / A
601	19	 Anthony A. Alaimo	 Annette Perry	N / A	N / A	N / A	N / A	N / A
158	20	 Anthony W. Ishii	, Office of the City Attorney,	N / A	N / A	N / A	N / A	N / A
159	20	 Anthony W. Ishii	 Richard Corp	N / A	N / A	N / A	N / A	N / A
160	20	 Anthony W. Ishii	 Michael Sowards	N / A	N / A	N / A	N / A	N / A
434	21	 Arthur B. Briskman	 Ann Kathan 2.222202 020 c eee ee (407) 648-6052	N / A	N / A	N / A	N / A	N / A
59	22	 Audrey B. Collins	 Jennifer Szoke 2.2.20. (213} 894-3759	N / A	N / A	N / A	N / A	N / A
48	23	 Audrey R. Evans.	 The Honorable G. Thomas Eisele, United States	N / A	N / A	N / A	N / A	N / A
523	24	 Barry L. Garber	 Bradiey Wagshul,	N / A	N / A	N / A	N / A	N / A
522	24	 Barry L. Garber	 Amie Rigglé . 0	N / A	N / A	N / A	N / A	N / A
617	25	 Barry M. Kurren	 (Vacant) ..00.00.0 000002000 (808) 541-1306	N / A	N / A	N / A	N / A	N / A
616	25	 Barry M. Kurren	 The Honorable Martin Pence, United States District	N / A	N / A	N / A	N / A	N / A
119	26	 Barry Russell	 Sue Doherty	N / A	N / A	N / A	N / A	N / A
521	27	 Barry S. Se!tzer	 Andrea “Kay” Adams.:	N / A	N / A	N / A	N / A	N / A
261	28	 Barry Ted Moskowitz	 The Honorable Leonard I. Garth, United States	N / A	N / A	N / A	N / A	N / A
227	29	 Bernard Zimmerman	 Young In. 	N / A	N / A	N / A	N / A	N / A
226	29	 Bernard Zimmerman	 The Honorable Frederick Heebe, United States	N / A	N / A	N / A	N / A	N / A
36	30	 Beth Deere	 Josh King 	N / A	N / A	N / A	N / A	N / A
37	30	 Beth Deere	 Debra W. Williams 	N / A	N / A	N / A	N / A	N / A
307	31	 Boyd N. Boland	 The Honorable Paul V. Hodges, Colorado Supreme“	N / A	N / A	N / A	N / A	N / A
547	32	 C. Ashiey Royal	 Helen Eisenstein 	N / A	N / A	N / A	N / A	N / A
548	32	 C. Ashiey Royal	 Amy Elizabeth Grynol 	N / A	N / A	N / A	N / A	N / A
549	32	 C. Ashiey Royal	 Sally Sanders Hateher 	N / A	N / A	N / A	N / A	N / A
584	33	 C. Christopher Hagy -	 Cheryl Jenkins. 0.0.0.2	N / A	N / A	N / A	N / A	N / A
583	33	 C. Christopher Hagy -	 Anne E. Andrews 	N / A	N / A	N / A	N / A	N / A
582	33	 C. Christopher Hagy -	 The Honorable Walter BR. Mansfield, United States ~	N / A	N / A	N / A	N / A	N / A
597	34	 C. Ray Mullins	 Laverne Hill	N / A	N / A	N / A	N / A	N / A
107	35	 Caria M. Woehrie	 Lori Beckwith. 	N / A	N / A	N / A	N / A	N / A
105	35	 Caria M. Woehrie	 Julie Sung 	N / A	N / A	N / A	N / A	N / A
106	35	 Caria M. Woehrie	 Bruce Hall	N / A	N / A	N / A	N / A	N / A
100	36	 Carolyn Turchin	 Elizabeth A. Carroll. 	N / A	N / A	N / A	N / A	N / A
494	37	 Cecilia M. Altonaga	 Adam L. Schwartz	N / A	N / A	N / A	N / A	N / A
493	37	 Cecilia M. Altonaga	 Kristine A. Rembach	N / A	N / A	N / A	N / A	N / A
491	37	 Cecilia M. Altonaga	, Chief Judge Edward B. Davis, United States District	N / A	N / A	N / A	N / A	N / A
492	37	 Cecilia M. Altonaga	 Yordanka V. Delionado	N / A	N / A	N / A	N / A	N / A
568	38	 Charles A. Pannell, Jr.	 Andrea Parrish 	N / A	N / A	N / A	N / A	N / A
566	38	 Charles A. Pannell, Jr.	 Ross Bergethon	N / A	N / A	N / A	N / A	N / A
567	38	 Charles A. Pannell, Jr.	 Marti Minor	N / A	N / A	N / A	N / A	N / A
99	39	 Charles F Eick	 Mary E. Miller 	N / A	N / A	N / A	N / A	N / A
533	40	 Chris M. McAliley	 Barbara Fox 	N / A	N / A	N / A	N / A	N / A
534	40	 Chris M. McAliley	 Lenore Smith	N / A	N / A	N / A	N / A	N / A
63	41	 Christina A. Snyder	 Anjuli Ruynolds	N / A	N / A	N / A	N / A	N / A
62	41	 Christina A. Snyder	 Linda Bassett Husain	N / A	N / A	N / A	N / A	N / A
322	42	 Christopher E Droney	 Risa Berkower 	N / A	N / A	N / A	N / A	N / A
324	42	 Christopher E Droney	 Gena Hateher. 	N / A	N / A	N / A	N / A	N / A
323	42	 Christopher E Droney	 Vivian Mills Storm 	N / A	N / A	N / A	N / A	N / A
182	43	 Christopher M. Klein.	 Kymberlee Stapleton 	N / A	N / A	N / A	N / A	N / A
181	43	 Christopher M. Klein.	 Mefissa Lor	N / A	N / A	N / A	N / A	N / A
366	44	 Christopher S.	 Ann C. Cordo	N / A	N / A	N / A	N / A	N / A
553	45	 Claude W. Hicks,	 James Alexander Foley 	N / A	N / A	N / A	N / A	N / A
90	46	 Consuelo B. Marshall	 Taja-Nia Henderson	N / A	N / A	N / A	N / A	N / A
91	46	 Consuelo B. Marshall	 Vietor Rodriquez 	N / A	N / A	N / A	N / A	N / A
308	47	 Craig B. Shaffer	 Charlotte Aycrigqg	N / A	N / A	N / A	N / A	N / A
179	48	 Craig M. Keilison	 The Honorable Bruce Thompson, United States	N / A	N / A	N / A	N / A	N / A
82	49	 Dale S. Fischer .	 Tara Weinstein. 	N / A	N / A	N / A	N / A	N / A
81	49	 Dale S. Fischer .	 Jessica Levinson 	N / A	N / A	N / A	N / A	N / A
269	50	 Dana M. Sabraw	 Moana McMullan 	N / A	N / A	N / A	N / A	N / A
469	51	 Daniel T. K. Hurley	 [Even Numbered Cases]	N / A	N / A	N / A	N / A	N / A
